,Power [kW],Temperature [C],Relative Humidity (%),Wind Speed [m/s],Wind Gust [m/s],Pressure [mbar],Solar Radiation [W/m2],Rain [mm/h],Rain Day,Holiday,Power-1,Power-2,Month,Hour,Week Day,Weekend,HDH,logtemp,WeekDay^2,Sin_hour
2018-07-05 11:00:00,342.0504202,20.4475,51.875,0.0,0.0,1024.0,557.2166666666667,0.0,0.0,0,324.0218242,320.278657,7,11,4,0,0.0,3.017860625626992,16,9.17988502052864
2018-07-05 12:00:00,371.1905416,20.9925,47.038333333333334,0.0,0.0,1024.0,760.125,0.0,0.0,0,342.0504202,324.0218242,7,12,4,0,0.0,3.0441652310755813,16,9.893582466233818
2018-07-05 13:00:00,367.7900399,20.843333333333334,47.530833333333334,0.0,0.0,1024.0,808.4916666666667,0.0,0.0,0,371.1905416,342.0504202,7,13,4,0,0.0,3.037034152911097,16,9.933048616783237
2018-07-05 14:00:00,382.1396111,21.1525,46.13916666666666,0.0,0.0,1024.0,868.2333333333332,0.0,0.0,0,367.7900399,371.1905416,7,14,4,0,0.0,3.0517581018165187,16,9.295593919237854
2018-07-05 15:00:00,371.0477484,21.1475,47.844166666666666,0.0,0.0,1023.25,833.5500000000001,0.0,0.0,0,382.1396111,367.7900399,7,15,4,0,0.0,3.0515216951960324,16,8.024659857791692
2018-07-05 16:00:00,391.8569938,20.995,48.784166666666664,0.0,0.0,1023.0,770.9250000000001,0.0,0.0,0,371.0477484,382.1396111,7,16,4,0,0.0,3.044284314136157,16,6.206858488414452
2018-07-05 17:00:00,337.5573978,20.86916666666667,50.78333333333333,0.0,0.0,1023.0,509.80833333333334,0.0,0.0,0,391.8569938,371.0477484,7,17,4,0,0.0,3.0382727905682105,16,3.96606997037041
2018-07-05 18:00:00,291.5380893,20.481666666666666,52.399166666666666,0.0,0.0,1022.5833333333334,441.2583333333334,0.0,0.0,0,337.5573978,391.8569938,7,18,4,0,0.0,3.0195301770684506,16,1.455000338086137
2018-07-05 19:00:00,224.7196531,19.753333333333334,55.91416666666667,0.0,0.0,1022.9166666666666,252.58333333333334,0.0,0.0,0,291.5380893,337.5573978,7,19,4,0,0.0,2.9833222534773096,16,-1.1552251627369503
2018-07-05 20:00:00,173.3120012,18.74416666666667,60.97833333333333,0.0,0.0,1023.0,66.80558333333333,0.0,0.0,0,224.7196531,291.5380893,7,20,4,0,0.0,2.930882592900207,16,-3.6867239778193617
